id,value
id_0,24.65617736384475
id_1,63.31068189794971
id_2,18.7539095530643
id_3,26.903083774583024
id_4,8.911993624746431
id_5,28.409066608769887
id_6,39.12118054219922
id_7,15.59363164132471
id_8,49.90138011761087
id_9,31.528171303747193
id_10,36.565491679308806
id_11,55.20799982390099
id_12,34.362199203752986
id_13,34.83689226737622
id_14,28.45458297350587
id_15,9.904806729624505
id_16,50.338103448052145
id_17,21.632844717501616
id_18,14.273625510910161
id_19,16.63008962791432
id_20,14.972230170347126
id_21,28.332023547282333
id_22,37.450278166090534
id_23,9.586037917679196
id_24,59.499456426609164
id_25,44.33841260286952
id_26,24.236477432957095
id_27,6.869058961921824
id_28,27.84365858087904
id_29,34.689706014436084
id_30,15.987713273795011
id_31,10.488829650026611
id_32,14.814619091336581
id_33,6.516841933478226
id_34,14.833666513660711
id_35,42.01515553496287
id_36,21.480290218863892
id_37,25.801193502188333
id_38,10.41336816363789
id_39,55.597676621785155
id_40,43.26034648448315
id_41,19.8127652707371
id_42,51.2913264787109
id_43,17.486622622896903
id_44,41.37199032771652
id_45,48.41850580926549
id_46,56.90079133505779
id_47,39.84491826982458
id_48,52.484937657143426
id_49,36.10934612148537
id_50,30.095794845751982
id_51,20.951787974230534
id_52,42.034636816056
id_53,24.385386683287944
id_54,33.48067788701457
id_55,37.331147156864894
id_56,22.880712235966822
id_57,19.728784874674666
id_58,35.18170563171814
id_59,31.341439519017502
id_60,10.191140036836568
id_61,23.829091332334436
id_62,29.473573431031443
id_63,47.73921356278119
id_64,48.04071573421203
id_65,24.906048764941346
id_66,35.57120922523468
id_67,50.143690582756385
id_68,27.204293738711513
id_69,37.204241586315305
id_70,62.732867295308935
id_71,54.50245537766718
id_72,40.00081583838656
id_73,13.382767115739043
id_74,11.885812917011723
id_75,33.91056252330116
id_76,61.439807543786195
id_77,1.7273205592583951
id_78,41.306778976442864
id_79,40.69110185370601
id_80,8.092850175604724
id_81,19.761526509021582
id_82,4.897830191431953
id_83,30.62070695342559
id_84,6.2711644179294845
id_85,4.155153204977451
id_86,16.1826892471192
id_87,10.849763458872724
id_88,15.833661909194209
id_89,20.63946631839783
id_90,34.689927284220545
id_91,11.141883080221538
id_92,10.064232853489814
id_93,10.629169050976458
id_94,34.36272487802698
id_95,13.482509160557845
id_96,15.2942287875708
id_97,8.218222828378464
id_98,9.218020934844699
id_99,5.13721396058893
id_100,8.911725912179733
id_101,17.64416026597912
id_102,9.789349312425577
id_103,8.858754590407692
id_104,12.576503583210599
id_105,34.74184562077714
id_106,20.834849043793515
id_107,7.201072221112151
id_108,17.36094844408811
id_109,15.9886209601207
id_110,9.801231178121192
id_111,12.993738570917134
id_112,14.903926765510136
id_113,22.329123898845115
id_114,19.75336572010639
id_115,14.504550595479984
id_116,8.853303521195302
id_117,40.24978364926592
id_118,22.664797689574403
id_119,0.5928390507493821
id_120,0.5806045254218672
id_121,9.352799775306387
id_122,11.696514456633766
id_123,10.701813741209737
id_124,6.405884458978879
id_125,24.134833597291827
id_126,23.070492174058774
id_127,8.280141255088232
id_128,17.95908414333597
id_129,12.944421545819937
